"State Name","Wind","Solar","Biomass","Bagasse","Small Hydel","Others","RE Generation Total"
"J&K<br>Aug-2019",0,0,0,0,39.26,0,39.26
"HP<br>Aug-2019",0,0,0,0,267.01,0,267.01
"Haryana<br>Aug-2019",0,6.26,17.43,0,27.04,0,50.73
"Delhi<br>Aug-2019",0,12.77,0,0,0,23.57,36.34
"Karnataka<br>Aug-2019",1654.49,810.13,12.91,67.26,287.98,0,2832.77
"Kerala<br>Aug-2019",14.66,9.54,0,0,66.64,0,90.84
"Tamil Nadu<br>Aug-2019",2568.06,409.2,10.83,38.86,27.47,0,3054.4199999999996
"Tripura<br>Aug-2019",0,0,0,0,1.5,0,1.5
"Nagaland<br>Aug-2019",0,0,0,0,13.02,0,13.02
"Mizoram<br>Aug-2019",0,0.03,0,0,4.58,0,4.61
"Meghalaya<br>Aug-2019",0,0,0,0,5.88,0,5.88
"Manipur<br>Aug-2019",0,0.21,0,0,0,0,0.21
"Assam<br>Aug-2019",0,0.58,0,0,3.82,0,4.3999999999999995
"Arunachal Pradesh<br>Aug-2019",0,0.15,0,0,0.05,0,0.2
"DVC<br>Aug-2019",0,0.01,0,0,0,0,0.01
"West Bengal<br>Aug-2019",0,4.28,0,125.2,19.38,0,148.85999999999999
"Lakshadweep<br>Aug-2019",0,0.04,0,0,0,0,0.04
"Puducherry<br>Aug-2019",0,0.37,0,0,0,0,0.37
"Andaman Nicobar<br>Aug-2019",0,0.46,0,0,0,0,0.46
"Bihar<br>Aug-2019",0,14.11,1.31,0,4.45,0,19.87
"Jharkhand<br>Aug-2019",0,1.3,0,0,0,0,1.3
"Orissa<br>Aug-2019",0,15.88,6.07,0,34.31,0,56.260000000000005
"Sikkim<br>Aug-2019",0,0,0,0,6.63,0,6.63
"Gujarat<br>Jul-2019",2142.29,285.85,8.14,0,14.34,0,2450.62
"Madhya Pradesh<br>Jul-2019",657.83,234.94,0.12,0,7.26,1.78,901.93
"Maharashtra<br>Jul-2019",1475.88,155.74,31.92,15.44,24.33,0.04,1703.3500000000001
"Dadra and Nagar Haveli<br>Jul-2019",0,0.34,0,0,0,0,0.34
"Daman & Diu<br>Jul-2019",0,1.39,0,0,0,0,1.39
"Andhra Pradesh<br>Jul-2019",1474.82,451.4,14.06,2.62,3.17,0.64,1946.7099999999998
"Telangana<br>Jul-2019",38.52,462.41,12.13,1.42,4.4,1.41,520.29
"Chhattisgarh<br>Jul-2019",0,24.58,95.85,0,10.43,,130.85999999999999
"Uttarakhand<br>Jul-2019",0,27.86,0,0,90.97,0,118.83
"Uttar Pradesh<br>Jul-2019",0,107.48,9.39,21.64,3.31,0,141.82
"Rajasthan<br>Jul-2019",1152.64,525.37,29.16,0,0.06,0,1707.2300000000002
"Punjab<br>Jul-2019",0,118.3,27.41,6.97,78.45,0.04,231.17
"J&K<br>Jul-2019",0,0,0,0,40.82,0,40.82
"HP<br>Jul-2019",0,0,0,0,230.62,0,230.62
"Haryana<br>Jul-2019",0,5.57,16.98,27.4,0,0,49.95
"Delhi<br>Jul-2019",0,11.63,0,0,0,25.12,36.75
"Karnataka<br>Jul-2019",1769.73,592.18,13.73,20.37,184.68,0,2580.6899999999996
"Kerala<br>Jul-2019",16.85,8.71,0,0,45.41,0,70.97
"Tamil Nadu<br>Jul-2019",2615.04,374.75,11,31,7.44,0,3039.23
"Tripura<br>Jul-2019",0,0.51,0,0,0.85,0,1.3599999999999999
"Nagaland<br>Jul-2019",0,0,0,0,11.68,0,11.68
"Mizoram<br>Jul-2019",0,0.03,0,0,3.75,0,3.78
"Meghalaya<br>Jul-2019",0,0,0,0,7.01,0,7.01
"Manipur<br>Jul-2019",0,0.21,0,0,0,0,0.21
"Assam<br>Jul-2019",0,0.38,0,0,3.76,0,4.14
"Arunachal Pradesh<br>Jul-2019",0,0.11,0,0,0.05,0,0.16
"DVC<br>Jul-2019",0,0,0,0,0,0,0
"West Bengal<br>Jul-2019",0,4.53,0,131.89,14.52,0,150.94
"Lakshadweep<br>Jul-2019",0,0.04,0,0,0,0,0.04
"Puducherry<br>Jul-2019",0,0.37,0,0,0,0,0.37
"Andaman Nicobar<br>Jul-2019",0,1.01,0,0,0,0,1.01
"Bihar<br>Jul-2019",0,14.11,1.31,0,4.45,0,19.87
"Jharkhand<br>Jul-2019",0,1.31,0,0,0,0,1.31
"Orissa<br>Jul-2019",0,27.48,4.02,0,33.42,0,64.92
"Sikkim<br>Jul-2019",0,0,0,0,6.2,0,6.2
"Gujarat<br>Jun-2019",1487.12,264.17,8.15,0,9,8.31,1776.75
"Madhya Pradesh<br>Jun-2019",536.45,299.11,0.14,0,4.51,2.92,843.13
"Maharashtra<br>Jun-2019",996.23,191.49,33.53,40.91,10.47,0.13,1272.7600000000002
"Dadra and Nagar Haveli<br>Jun-2019",0,0.49,0,0,0,0,0.49
"Daman & Diu<br>Jun-2019",0,1.35,0,0,0,0,1.35
"Andhra Pradesh<br>Jun-2019",1133.54,532.35,14.83,2.43,3.96,0.56,1687.6699999999998
"Telangana<br>Jun-2019",24.95,540.91,8.63,0,0,1.11,575.6
"Chhattisgarh<br>Jun-2019",0,30.86,20.55,0,3.57,0,54.98
"Uttarakhand<br>Jun-2019",0,36.9,0,0,68.42,0,105.32
"Uttar Pradesh<br>Jun-2019",0,131.06,6.97,83.49,3.33,0,224.85
"Rajasthan<br>Jun-2019",723.94,609.74,28.44,0,0.16,0,1362.2800000000002
"Punjab<br>Jun-2019",14.36,145.13,30.62,21.7,76.89,0.02,288.71999999999997
"J&K<br>Jun-2019",0,0,0,0,117.31,0,117.31
"HP<br>Jun-2019",0,0,0,0,233.32,0,233.32
"Haryana<br>Jun-2019",0,6.4,16.27,0,29.97,0,52.64
"Delhi<br>Jun-2019",0,14.42,0,0,0,25.18,39.6
"West Bengal<br>Jun-2019",0,5.38,0,125.28,7.21,0,137.87
"Karnataka<br>Jun-2019",1273.47,667.29,16.39,6.72,30.51,0,1994.38
"Kerala<br>Jun-2019",16.29,9.18,0,0,21.94,0,47.41
"Tripura<br>Jun-2019",0,0.54,0,0,0.85,0,1.3900000000000001
"Nagaland<br>Jun-2019",0,0,0,0,5.04,0,5.04
"Mizoram<br>Jun-2019",0,0.03,0,0,3.34,0,3.3699999999999997
"Meghalaya<br>Jun-2019",0,0,0,0,3.11,0,3.11
"Manipur<br>Jun-2019",0,0,0,0,0,0,0
"Assam<br>Jun-2019",0,0.43,0,0,3.3,0,3.73
"Arunachal Pradesh<br>Jun-2019",0,0.02,0,0,0.05,0,0.07
"DVC<br>Jun-2019",0,0,0,0,0,0,0
"Lakshadweep<br>Jun-2019",0,0.06,0,0,0,0,0.06
"Tamil Nadu<br>Jun-2019",2555.63,386.05,10.4,31,1.16,0,2984.2400000000002
"Puducherry<br>Jun-2019",0,0.27,0,0,0,0,0.27
"Andaman Nicobar<br>Jun-2019",0,1.17,0,0,0.04,0,1.21
"Bihar<br>Jun-2019",0,17.36,1.56,2.23,0,0,21.15
"Jharkhand<br>Jun-2019",0,1.51,0,0,0,0,1.51
"Orissa<br>Jun-2019",19.17,35.71,5.8,0,22.75,0,83.43
"Sikkim<br>Jun-2019",0,0,0,0,5.34,0,5.34
"Gujarat<br>May-2019",1369.72,323.61,8.64,0,2.66,0,1704.63
"Madhya Pradesh<br>May-2019",607.59,339.39,0.2,0,10.32,2.78,960.2800000000001
"Maharashtra<br>May-2019",772.06,249.08,37.26,129.99,32.97,0.13,1221.4900000000002
"Dadra and Nagar Haveli<br>May-2019",0,0.66,0,0,0,0,0.66
"Andhra Pradesh<br>May-2019",681.94,579.58,13.21,2.59,1.83,0.6,1279.7499999999998
"Telangana<br>May-2019",11.92,621.89,9.92,0,0,1.05,644.7799999999999
"Chhattisgarh<br>May-2019",0,11.63,28.56,0,1.54,0,41.73
"Uttarakhand<br>May-2019",0,26.51,0,0,70.74,0,97.25
"Uttar Pradesh<br>May-2019",0,145.87,11.22,259.75,5.49,0,422.33000000000004
"Rajasthan<br>May-2019",600.04,609.27,33.46,0,0.01,0,1242.78
"Punjab<br>May-2019",2.54,152.2,32.94,31.34,66.28,0,285.29999999999995
"J&K<br>May-2019",0,0,0,0,44.6,0,44.6
"HP<br>May-2019",0,0,0,0,229.2,0,229.2
"Haryana<br>May-2019",0,7.64,17.15,0,27.19,0,51.980000000000004
"Delhi<br>May-2019",0,16.22,0,0,0,24.81,41.03
"Daman & Diu<br>May-2019",0,2.12,0,0,0,0,2.12
"Karnataka<br>May-2019",887.03,822.23,17.04,32.63,35.07,0,1794
"Kerala<br>May-2019",13.8,11,0,0,20.37,0,45.17
"Tamil Nadu<br>May-2019",1638.33,367.71,10.35,50.69,1.49,0,2068.5699999999997
"Tripura<br>May-2019",0,0.67,0,0,2.41,0,3.08
"Nagaland<br>May-2019",0,0,0,0,3.22,0,3.22
"Mizoram<br>May-2019",0,0.04,0,0,3.84,0,3.88
"Meghalaya<br>May-2019",0,0,0,0,3.44,0,3.44
"Manipur<br>May-2019",0,0.19,0,0,0,0,0.19
"Assam<br>May-2019",0,0.38,0,0,2.52,0,2.9
"Arunachal Pradesh<br>May-2019",0,0.09,0,0,0.13,0,0.22
"DVC<br>May-2019",0,0.01,0,0,0,0,0.01
"West Bengal<br>May-2019",0,6.17,0,123.64,4.23,0,134.04
"Lakshadweep<br>May-2019",0,0.07,0,0,0,0,0.07
"Puducherry<br>May-2019",0,0.26,0,0,0,0,0.26
"Andaman Nicobar<br>May-2019",0,1.65,0,0,0.13,0,1.7799999999999998
"Bihar<br>May-2019",0,2.73,1.09,2.15,0,0,5.970000000000001
"Jharkhand<br>May-2019",0,1.58,0,0,0,0,1.58
"Orissa<br>May-2019",18.97,41.8,7.99,0,18.78,0,87.53999999999999
"Sikkim<br>May-2019",0,0,0,0,3.9,0,3.9
"Gujarat<br>Apr-2019",1031.56,308.85,10.49,3.19,7.89,7.77,1369.75
"Madhya Pradesh<br>Apr-2019",414.14,324,0.23,10.68,10.89,2.43,762.3699999999999
"Maharashtra<br>Apr-2019",513.13,233.28,34.28,309.56,50.39,0.13,1140.7700000000002
"Dadra and Nagar Haveli<br>Apr-2019",0,0.7,0,0,0,0,0.7
"Daman & Diu<br>Apr-2019",0,2.12,0,0,0,0,2.12
"Andhra Pradesh<br>Apr-2019",401.42,547.62,14.81,9.93,9.21,0.6,983.5899999999999
"Telangana<br>Apr-2019",6.23,607.54,10.19,4.12,0.49,0.86,629.4300000000001
"Chhattisgarh<br>Apr-2019",0,34.81,47.94,0,4.14,0,86.89
"Uttarakhand<br>Apr-2019",0,36.12,0,13.88,67.65,0,117.65
"Uttar Pradesh<br>Apr-2019",0,123.89,10.66,530.37,3.15,0,668.07
"Rajasthan<br>Apr-2019",414.2,527.89,34.39,0,0.01,0,976.4899999999999
"Punjab<br>Apr-2019",0,141.73,26.32,31.61,29.92,0,229.57999999999998
"J&K<br>Apr-2019",0,0,0,0,40.17,0,40.17
"HP<br>Apr-2019",0,0,0,0,164.62,0,164.62
"Haryana<br>Apr-2019",0,7.18,14.66,16.06,24.2,0,62.099999999999994
"Orissa<br>Apr-2019",16.52,36.6,6.29,0,12.83,0,72.24000000000001
"Karnataka<br>Apr-2019",514.64,791.54,14.09,91.95,36.46,0,1448.6799999999998
"Kerala<br>Apr-2019",4.84,11.75,0,0,32.16,0,48.75
"Tamil Nadu<br>Apr-2019",390.61,400.11,8.66,40.15,4.67,0,844.1999999999999
"Nagaland<br>Apr-2019",0,0,0,0,0.18,0,0.18
"Mizoram<br>Apr-2019",0,0.04,0,0,3.67,0,3.71
"Meghalaya<br>Apr-2019",0,0,0,0,4.45,0,4.45
"Manipur<br>Apr-2019",0,0.16,0,0,0,0,0.16
"Assam<br>Apr-2019",0,0.49,0,0,1.53,0,2.02
"Arunachal Pradesh<br>Apr-2019",0,0.11,0,0,0.05,0,0.16
"DVC<br>Apr-2019",0,0.01,0,0,0,0,0.01
"West Bengal<br>Apr-2019",0,6.44,0,113.08,3.78,0,123.3
"Sikkim<br>Apr-2019",0,0,0,0,2.32,0,2.32
"Delhi<br>Apr-2019",0,13.34,0,0,0,26.98,40.32
"Jharkhand<br>Apr-2019",0,1.85,0,0,0,0,1.85
"Bihar<br>Apr-2019",0,17.86,2,26.71,0,0,46.57
"Andaman Nicobar<br>Apr-2019",0,1.94,0,0,0.63,0,2.57
"Puducherry<br>Apr-2019",0,0.27,0,0,0,0,0.27
"Lakshadweep<br>Apr-2019",0,0.06,0,0,0,0,0.06
"Tripura<br>Apr-2019",0,0.61,0,0,2.69,0,3.3
