"Category","Per Capita Consumption"
"Bihar<br>2010-11",126.7499102943084
"Punjab<br>2010-11",1735.511081036877
"Lakshadweep<br>2010-11",531.625
"Madhya Pradesh<br>2010-11",674.4833621247842
"Tripura<br>2010-11",221.8021075802362
"Haryana<br>2010-11",1485.067230001132
"Chhattisgarh<br>2010-11",1117.530226881782
"Goa<br>2010-11",2060.646703307228
"Nagaland<br>2010-11",264.8064311693108
"Mizoram<br>2010-11",461.6878531219722
"Andhra Pradesh<br>2010-11",1065.461230404611
"N R<br>2010-11",776.3656902782016
"D. & N. Haveli<br>2010-11",13366.49856141288
"W R<br>2010-11",1104.441942229985
"Chandigarh<br>2010-11",1282.862343680885
"N E R<br>2010-11",267.5292797883152
"All India<br>2010-11",818.746167182854
"E R<br>2010-11",493.3901885179894
"S R<br>2010-11",1009.625975240522
"Gujarat<br>2010-11",1508.137953665987
"Daman & Diu<br>2010-11",7810.218560574101
"Delhi<br>2010-11",1530.429776435878
"Meghalaya<br>2010-11",654.0765880747367
"Maharashtra<br>2010-11",1095.98644257182
"Jammu & Kashmir<br>2010-11",988.2992374385153
"Assam<br>2010-11",222.8835328251296
"Telangana<br>2010-11",
"Manipur<br>2010-11",242.3023879089665
"A.& N. Islands<br>2010-11",499.1836734693878
"Karnataka<br>2010-11",925.024178954847
"Uttarakhand<br>2010-11",1143.606210806404
"Arunachal Pradesh<br>2010-11",582.0827222521542
"Himachal Pradesh<br>2010-11",1250.931698213318
"Sikkim<br>2010-11",880.1070038262709
"Bihar<br>2011-12",133.6061664955301
"S R<br>2011-12",1098.009002141576
"Jammu & Kashmir<br>2011-12",1015.189027422747
"E R<br>2011-12",521.1586924896434
"A.& N. Islands<br>2011-12",501.4
"Rajasthan<br>2011-12",927.3568097224398
"Lakshadweep<br>2011-12",550.25
"N E R<br>2011-12",292.359172425039
"Sikkim<br>2011-12",886.3624688699177
"Delhi<br>2011-12",1586.731099413364
"W R<br>2011-12",1201.146787724073
"Meghalaya<br>2011-12",657.565111952343
"Punjab<br>2011-12",1799.00841291261
"Himachal Pradesh<br>2011-12",1289.389228584339
"Mizoram<br>2011-12",506.7438313104392
"Manipur<br>2011-12",235.8570803349462
"Jharkhand<br>2011-12",790.2000586748719
"Nagaland<br>2011-12",257.1786618530686
"Haryana<br>2011-12",1628.311813460868
"West Bengal<br>2011-12",563.7816380443609
"Assam<br>2011-12",249.8202037399606
"Tripura<br>2011-12",253.8188451538322
"Odisha<br>2011-12",1145.79383398825
"N R<br>2011-12",833.1876844571649
"All India<br>2011-12",883.6314912806516
"Arunachal Pradesh<br>2011-12",683.1252305127173
"Chandigarh<br>2011-12",1217.365280068256
